id,file,line,occurrences,priority,kind,quote,reason,replacement
E130,ai-media.html,104,104,Media,Estilo,None of those jobs require pretending the agent is a colleague with a favorite coffee.,Burla innecesaria; además el lenguaje personal de agentes aparece en los ensayos del propio sitio.,"Eliminar. Conservar los ejemplos de investigación, metadata y programación."
E131,ai-media.html,154,154,Media,Estilo,"New work belongs here when there is something real to inspect, not when there is only a claim.",Regla del proceso editorial insertada como cierre público.,Eliminar; los enlaces a proyectos ya cumplen esa función.
E132,archive.html,88,88,Media,Estilo,"The site is now organized as a decision path, not a storage room.",Lenguaje de rediseño interno y contraste con una mala experiencia no solicitada.,Each route starts with a problem and suggests what to read next.
E133,concepts.html,552,552,Media,Estilo,A retrieval-friendly map of the site,Describe la optimización para máquinas en lugar de la utilidad del glosario.,The ideas used throughout these essays
E134,concepts.html,635,635,Media,Estilo,teams that solved the thing but not the read of the thing.,“Thing / read of the thing” resulta opaco justo donde se promete lenguaje claro.,teams whose product solves a problem that potential users do not yet recognize
E135,contact.html,90,90,Baja,Estilo,"Send the context, not a puzzle.","Tiene carácter, pero el reproche inicial puede ser innecesario para una consulta profesional.",Tell me what you are working on and where you need help.
E136,essays.html,73,73,Media,Estilo,This is not a chronological blog.,Explica qué no es el sitio en vez de facilitar la elección.,"Choose a topic below, or follow a reading path."
E137,essays.html,132,132,Media,Estilo,Use this when you want signal before commitment.,Abstracción de navegación que también aparece en Notes.,Start here if you want a short idea before choosing an essay.
E138,frameworks.html,99,99,Media,Estilo,launches either survive mediation or disappear.,Final binario y dramático para explicar un índice.,launches depend on how people discover and understand the product.
E139,index.html,98,98,Media,Estilo,"I've spent more than 15 years building digital media companies, products, marketing, content, audiences, and communities.",Inventario de categorías que vuelve en varias páginas; “building marketing” también resulta forzado.,"I co-founded Posta and helped build Roxom TV’s global operation. My work spans media products, marketing, content, and the teams and tools behind them."
E140,index.html,130,130,Media,Estilo,small experiments that make an operational idea inspectable.,“Inspectable” describe el objetivo de documentación más que el valor para el visitante.,small tools you can try
E141,index.html,168,168,Media,Estilo,the authoritative background.,La autoridad se autodeclara en un enlace de navegación.,my background.
E142,media-kit.html,91,91,Media,Estilo,"His focus is not AI as a standalone category, but how it changes the systems behind media products, content, distribution and communities.",La misma bio de About; resolverla una vez y mantener la versión oficial sincronizada.,"His current work applies AI to the research, production, and distribution workflows behind media products."
E143,media-kit.html,117,117,Media,Estilo,A current repository-approved press headshot is not published on this site yet.,“Repository-approved” filtra jerga de implementación al lector de prensa.,"For a current press photo, contact Diego."
E144,notes.html,142,142,Media,Estilo,"signal before commitment: shorter arguments, sharper entries, and active fragments before the larger shelves.","Metáforas de señal y estantes, más una tríada, para decir algo simple.",short ideas and work in progress before choosing a longer essay.
E145,privacy.html,90,90,Baja,Estilo,A small site with a small data surface.,“Data surface” no ayuda al lector de una política de privacidad.,What information this site receives and how it is used.
E146,series.html,438,438,Media,Estilo,These are the strongest read-this-in-order routes in the publication.,Autoevaluación genérica; el usuario necesita saber qué encontrará.,"Choose Narrative-First for product and launch decisions, or After You Post for AI, readers, and trust."
E147,speaking.html,70,70,Media,Estilo,not a generic AI keynote.,Diferenciación por descalificación vaga.,Eliminar el inciso: la experiencia operativa y los temas ya diferencian la propuesta.
E148,speaking.html,78,78,Media,Estilo,The AI-native newsroom is not an AI newsroom,Distinción circular que necesita interpretación para funcionar como título.,"Where AI helps in a newsroom, and where editors still decide"
E149,work-posta.html,81,81,Baja,Estilo,That was the opening. It was also the constraint.,Dos remates abstractos antes de la explicación concreta.,Eliminar; la oración sobre crear programas y desarrollar el mercado expresa ambas cosas.
E150,work-roxom.html,74,74,Media,Estilo,Continuous live media is an operations problem disguised as a content problem.,Otra fórmula “X disfrazado de Y” que separa artificialmente responsabilidades conectadas.,"Running a live channel around the clock requires programming, production, and recovery to work together."
E151,work-roxom.html,108,108,Baja,Estilo,without pretending uncertainty had disappeared.,Atribuye una pretensión a nadie; la capacidad concreta ya quedó explicada.,Eliminar el inciso y terminar después de “support internal interfaces”.
E152,work.html,77,77,Media,Estilo,Not a résumé.,Niega una expectativa que el visitante no planteó.,Eliminar y comenzar con “Two cases…”.
E153,work.html,111,111,Media,Estilo,For inspectable evidence beyond the case studies,Jerga de verificación en un enlace cotidiano.,For more examples of what I am building
E154,global.js,256,256,Media,Estilo,"Stay in Essays, branch into Reading Paths, or take the compressed path before coming back deeper.",El texto añadido por JavaScript reproduce las metáforas de caminos y profundidad de los índices.,"Read another essay, follow a series, or browse the short notes."
E155,global.js,1019,1019,Media,Coherencia,Message sent. Diego will reply directly.,Promete respuesta aunque Contact aclara que la aceptación del envío no garantiza contestación.,Your message has been sent to Diego.
E156,global.js,884,884,Media,Coherencia,Typical response: within two working days.,"Plazo de respuesta añadido en el modal, sin respaldo en la página de contacto.",Eliminar el plazo salvo que Diego confirme que es un compromiso real.
E157,zmox.md,7,7,Media,Estilo,"It is not just about reaching audiences. It is about forming the conditions under which audiences interpret, trust, and remember.","El resumen reproduce la oposición y la tríada del ensayo, sin necesitar ese efecto.",It asks how repeated contact with a media source changes a reader’s understanding over time.
E158,index.md,31,31,Media,Estilo,It is not a separate “AI expert” identity.,Instrucción de posicionamiento dentro de una presentación; ya queda claro por la trayectoria.,Eliminar; conservar la explicación anterior de continuidad profesional.
